parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
z85,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z86,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z87,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z88,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z89,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z90,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z91,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z92,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z93,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z94,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z95,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z96,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z97,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z98,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z99,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z100,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z101,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z102,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z103,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z104,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z105,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z106,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z107,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z108,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z109,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z110,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z111,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z112,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z113,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z114,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z115,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z116,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z117,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z118,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z119,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z120,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z121,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z122,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z123,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z124,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z125,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z126,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z127,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z128,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z129,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z130,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z131,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z132,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z133,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z134,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z135,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z136,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z137,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z138,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z139,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z140,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z141,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z142,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z143,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z144,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z145,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z146,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z147,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z148,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z149,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z150,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z151,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z152,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z153,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z154,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z155,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z156,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z157,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z158,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z159,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z160,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z161,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z162,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z163,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z164,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z165,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z166,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z167,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z168,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z169,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z170,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z171,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z172,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z173,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z174,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z175,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z176,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z177,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z178,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z179,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z180,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z181,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z182,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z183,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z184,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z185,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z186,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z187,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z188,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z189,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z190,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z191,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z192,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z193,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z194,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z195,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z196,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z197,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z198,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z199,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z200,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z201,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z202,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z203,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z204,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z205,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z206,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z207,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z208,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z209,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z210,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z211,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z212,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z213,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z214,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z215,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z216,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z217,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z218,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z219,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z220,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z221,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z222,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z223,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z224,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z225,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z226,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z227,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z228,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z229,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z230,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z231,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z232,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z233,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z234,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z235,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z236,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z237,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
