    0.54991        0.51743        0.49937        0.50020        0.52676        0.59108        0.71588        0.94623         1.3752         2.2018         3.8608         7.3036         14.545         29.506         58.692         110.12         188.27         286.09         381.59         447.15         466.14         441.15         387.87         323.63         260.44         204.13         156.53         117.54         86.435         62.292         44.092         30.742         21.162         14.392         9.6542         6.3709         4.1272         2.6272         1.6529         1.0397        0.66458        0.44009        0.30770        0.23078        0.18764        0.16603        0.15945        0.16488        0.18137        0.20918    
    0.43591        0.40440        0.38782        0.38909        0.41346        0.47117        0.58277        0.79071         1.1858         1.9700         3.6058         7.1614         15.038         32.222         67.565         132.77         235.26         365.39         490.43         569.45         580.30         531.36         449.14         359.40         277.60         209.50         155.33         113.28         81.217         57.254         39.746         27.242         18.475         12.404         8.2289         5.3758         3.4474         2.1692         1.3456        0.83160        0.52050        0.33657        0.22951        0.16806        0.13386        0.11672        0.11136        0.11545        0.12856        0.15148    
    0.34227        0.31314        0.29856        0.30015        0.32172        0.37164        0.46750        0.64646        0.98963         1.6812         3.1537         6.4341         13.904         30.669         66.050         132.60         238.05         370.63         492.85         560.54         554.19         489.03         397.08         305.28         227.25         166.12         120.02         85.809         60.640         42.330         29.214         19.977         13.564         9.1476         6.1139         4.0320         2.6115         1.6573         1.0332        0.63842        0.39706        0.25358        0.16996        0.12202        0.95330E-01    0.81834E-01    0.77366E-01    0.80184E-01    0.90151E-01    0.10832    
    0.27258        0.24631        0.23374        0.23554        0.25447        0.29725        0.37848        0.52925        0.81772         1.3991         2.6382         5.4032         11.707         25.849         55.569         110.89         196.76         300.75         389.93         429.76         409.93         348.27         272.45         202.46         146.46         104.74         74.572         52.898         37.319         26.143         18.188         12.590         8.6889         5.9798         4.0932         2.7717         1.8447         1.2010        0.76475        0.47938        0.29989        0.19093        0.12658        0.89389E-01    0.68556E-01    0.57873E-01    0.54098E-01    0.55902E-01    0.63296E-01    0.77384E-01
    0.22540        0.20174        0.19089        0.19295        0.20994        0.24738        0.31739        0.44570        0.68808         1.1696         2.1786         4.3846         9.2925         19.986         41.698         80.476         137.66         202.34         251.85         266.42         244.26         200.12         151.74         110.02         78.247         55.466         39.450         28.156         20.107         14.330         10.186         7.2315         5.1378         3.6541         2.5938         1.8257         1.2637        0.85381        0.56126        0.36028        0.22848        0.14588        0.96033E-01    0.66848E-01    0.50350E-01    0.41767E-01    0.38546E-01    0.39640E-01    0.45112E-01    0.56015E-01
    0.19694        0.17530        0.16583        0.16834        0.18445        0.21893        0.28223        0.39616        0.60694         1.0150         1.8430         3.5835         7.2774         14.893         29.407         53.526         86.240         119.51         140.72         141.60         124.39         98.521         72.918         52.135         36.934         26.325         18.986         13.837         10.147         7.4568         5.4835         4.0389         2.9851         2.2143         1.6431         1.2107        0.87684        0.61796        0.42117        0.27783        0.17910        0.11491        0.75214E-01    0.51646E-01    0.38214E-01    0.31148E-01    0.28369E-01    0.29013E-01    0.33152E-01    0.41742E-01
    0.18311        0.16286        0.15456        0.15791        0.17445        0.20869        0.27028        0.37891        0.57481        0.94174         1.6553         3.0770         5.9027         11.293         20.682         34.757         51.670         66.290         72.783         68.999         57.836         44.317         32.189         22.898         16.345         11.870         8.8027         6.6446         5.0731         3.8954         2.9996         2.3168         1.7973         1.4005         1.0920        0.84498        0.64121        0.47137        0.33276        0.22523        0.14735        0.94861E-01    0.61684E-01    0.41770E-01    0.30370E-01    0.24339E-01    0.21893E-01    0.22273E-01    0.25543E-01    0.32570E-01
    0.18015        0.16087        0.15374        0.15858        0.17716        0.21424        0.27970        0.39302        0.59232        0.95276         1.6211         2.8717         5.1684         9.1456         15.319         23.383         31.526         36.829         37.163         32.821         26.057         19.255         13.735         9.7620         7.0714         5.2809         4.0712         3.2212         2.5930         2.1068         1.7197         1.4085         1.1579        0.95472        0.78598        0.64002        0.50871        0.38915        0.28347        0.19600        0.12958        0.83422E-01    0.53768E-01    0.35873E-01    0.25638E-01    0.20223E-01    0.17987E-01    0.18221E-01    0.20968E-01    0.27032E-01
    0.18436        0.16591        0.16024        0.16752        0.19006        0.23358        0.30944        0.43914        0.66294         1.0553         1.7493         2.9648         5.0081         8.1674         12.418         17.031         20.549         21.544         19.693         15.988         11.887         8.3985         5.8500         4.1436         3.0470         2.3476         1.8926         1.5827         1.3572         1.1808         1.0347        0.91005        0.80212        0.70675        0.61878        0.53251        0.44387        0.35285        0.26433        0.18589        0.12363        0.79286E-01    0.50519E-01    0.33170E-01    0.23303E-01    0.18109E-01    0.15945E-01    0.16090E-01    0.18568E-01    0.24144E-01
    0.19154        0.17407        0.17034        0.18108        0.20965        0.26356        0.35728        0.51734        0.79129         1.2613         2.0600         3.3717         5.3802         8.1095         11.179         13.707         14.674         13.651         11.154         8.2073         5.6336         3.7542         2.5231         1.7636         1.3073         1.0352        0.87251        0.77389        0.71197        0.67010        0.63847        0.61165        0.58640        0.55959        0.52699        0.48343        0.42488        0.35182        0.27102        0.19349        0.12910        0.82250E-01    0.51698E-01    0.33362E-01    0.23030E-01    0.17633E-01    0.15368E-01    0.15438E-01    0.17832E-01    0.23306E-01
