name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
C_MW3_003,0.012295,4.6861e-17,0.012295,0.012295,0.012295,0.012295,1.45127e-05,3.75418e-06,4.37638e-06,3.55516e-05,1.82669e-05,1.07585e-05,0.0122594
C_MW3_004,0.01601,0,0.01601,0.01601,0.01601,0.01601,5.70644e-05,1.50601e-05,1.69455e-05,0.000138279,7.21246e-05,4.20043e-05,0.0158717
C_MW3_005,-0.0039548,1.38847e-17,-0.0039548,-0.0039548,-0.0039548,-0.0039548,0.00018253,4.77853e-05,5.3794e-05,0.000430072,0.000230315,0.000134744,0.00400859
C_MW3_006,-0.014524,8.15728e-17,-0.014524,-0.014524,-0.014524,-0.014524,0.000493907,0.000126828,0.000147193,0.00112475,0.000620735,0.00036708,0.0146712
C_MW3_007,-0.013528,1.38847e-17,-0.013528,-0.013528,-0.013528,-0.013528,0.00116653,0.000291455,0.000355053,0.00255697,0.00145799,0.000875077,0.0138831
C_MW3_008,0.02199,4.85966e-17,0.02199,0.02199,0.02199,0.02199,0.0024607,0.000594197,0.000772999,0.00521757,0.00305489,0.0018665,0.0167724
C_MW3_009,-0.0024397,7.81016e-18,-0.0024397,-0.0024397,-0.0024397,-0.0024397,0.00471687,0.00109412,0.00153905,0.00965656,0.00581099,0.00362275,0.00397875
C_MW3_012,0.0031278,1.38847e-17,0.0031278,0.0031278,0.0031278,0.0031278,0.0211509,0.0042259,0.00793375,0.0386773,0.0253768,0.016925,0.00480595
C_MW3_015,0.024951,6.24813e-17,0.024951,0.024951,0.024951,0.024951,0.0577558,0.00967842,0.0252973,0.0961496,0.0674342,0.0480774,0.000346258
C_MW4_001,0.011945,1.38847e-17,0.011945,0.011945,0.011945,0.011945,-1.23796e-10,1.46137e-10,-4.49806e-10,5.63954e-10,2.23408e-11,-2.69933e-10,0.011945
C_MW4_002,-0.0049872,2.51661e-17,-0.0049872,-0.0049872,-0.0049872,-0.0049872,2.14445e-10,4.32022e-10,-3.77343e-10,7.54025e-09,6.46468e-10,-2.17577e-10,0.0049872
C_MW4_003,-0.0008074,3.90508e-18,-0.0008074,-0.0008074,-0.0008074,-0.0008074,1.77115e-09,1.98081e-09,8.71595e-11,5.29086e-08,3.75196e-09,-2.09665e-10,0.0008074
C_MW4_004,0.019379,1.04135e-17,0.019379,0.019379,0.019379,0.019379,7.35151e-09,9.5938e-09,5.51703e-10,2.21824e-07,1.69453e-08,-2.24229e-09,0.0193788
C_MW4_005,0.0060884,1.99593e-17,0.0060884,0.0060884,0.0060884,0.0060884,2.7422e-08,3.04827e-08,1.65538e-09,7.0761e-07,5.79047e-08,-3.06075e-09,0.00608769
C_MW4_006,0.0009754,6.29152e-18,0.0009754,0.0009754,0.0009754,0.0009754,6.58898e-08,8.3373e-08,3.49587e-09,1.94742e-06,1.49263e-07,-1.74832e-08,0.000973453
C_MW4_007,0.013474,1.21491e-17,0.013474,0.013474,0.013474,0.013474,1.5189e-07,2.02531e-07,9.84457e-09,4.89361e-06,3.54422e-07,-5.06414e-08,0.0134691
C_MW4_008,0.014002,4.51254e-17,0.014002,0.014002,0.014002,0.014002,3.43271e-07,4.62437e-07,2.53977e-08,1.12866e-05,8.05708e-07,-1.19166e-07,0.0139907
