    0.19639        0.18015        0.17872        0.19362        0.22968        0.29721        0.41579        0.62091        0.97420         1.5760         2.5703         4.1139         6.2679         8.8014         11.052         12.123         11.480         9.4127         6.8055         4.4795         2.7960         1.7290         1.1029        0.74897        0.55216        0.44474        0.38936        0.36560        0.36189        0.37125        0.38905        0.41188        0.43650        0.45863        0.47183        0.46760        0.43801        0.38074        0.30310        0.22026        0.14757        0.93372E-01    0.57848E-01    0.36652E-01    0.24833E-01    0.18709E-01    0.16114E-01    0.16075E-01    0.18519E-01    0.24213E-01
    0.19614        0.18109        0.18178        0.20053        0.24391        0.32572        0.47242        0.73234         1.1888         1.9717         3.2479         5.1458         7.5775         10.028         11.587         11.464         9.6528         6.9868         4.4600         2.6097         1.4664        0.83032        0.49485        0.32108        0.23158        0.18696        0.16806        0.16583        0.17619        0.19754        0.22942        0.27155        0.32278        0.37948        0.43350        0.47129        0.47684        0.43987        0.36482        0.27131        0.18308        0.11517        0.70294E-01    0.43652E-01    0.28951E-01    0.21388E-01    0.18131E-01    0.17880E-01    0.20439E-01    0.26585E-01
    0.18862        0.17442        0.17637        0.19741        0.24556        0.33795        0.50820        0.81918         1.3805         2.3607         3.9579         6.2683         9.0274         11.411         12.307         11.139         8.4500         5.4573         3.0977         1.6158        0.81558        0.41994        0.23125        0.14132        0.98122E-01    0.78120E-01    0.71043E-01    0.72784E-01    0.82334E-01    0.10053        0.12954        0.17238        0.23198        0.30886        0.39718        0.48050        0.53243        0.52783        0.46101        0.35383        0.24190        0.15179        0.91330E-01    0.55502E-01    0.35908E-01    0.25886E-01    0.21473E-01    0.20801E-01    0.23447E-01    0.30159E-01
    0.17535        0.16144        0.16342        0.18439        0.23304        0.32839        0.50893        0.84873         1.4798         2.6053         4.4535         7.0889         10.080         12.338         12.638         10.677         7.4541         4.3865         2.2559         1.0646        0.48745        0.22912        0.11635        0.66476E-01    0.43920E-01    0.33985E-01    0.30776E-01    0.32231E-01    0.38283E-01    0.50343E-01    0.71422E-01    0.10644        0.16215        0.24531        0.35735        0.48518        0.59466        0.64022        0.59482        0.47539        0.33155        0.20843        0.12383        0.73554E-01    0.46247E-01    0.32350E-01    0.26082E-01    0.24643E-01    0.27211E-01    0.34419E-01
    0.15997        0.14582        0.14676        0.16556        0.21055        0.30052        0.47446        0.80917         1.4441         2.5961         4.5033         7.2049         10.176         12.210         12.103         9.7765         6.4605         3.5696         1.7134        0.75166        0.31929        0.13927        0.65836E-01    0.35253E-01    0.22067E-01    0.16429E-01    0.14600E-01    0.15358E-01    0.18792E-01    0.26114E-01    0.40073E-01    0.65863E-01    0.11220        0.19125        0.31416        0.47834        0.65022        0.76429        0.76072        0.63788        0.45701        0.28934        0.17021        0.98804E-01    0.60207E-01    0.40664E-01    0.31665E-01    0.28991E-01    0.31172E-01    0.38597E-01
    0.14637        0.13163        0.13094        0.14645        0.18536        0.26440        0.41879        0.71855         1.2918         2.3378         4.0719         6.5145         9.1542         10.871         10.611         8.4043         5.4238         2.9155         1.3557        0.57337        0.23356        0.97193E-01    0.43659E-01    0.22185E-01    0.13210E-01    0.94237E-02    0.81241E-02    0.84327E-02    0.10392E-01    0.14871E-01    0.24024E-01    0.42399E-01    0.78803E-01    0.14817        0.26993        0.45566        0.68273        0.87509        0.93564        0.82761        0.61313        0.39342        0.23024        0.13095        0.77327E-01    0.50308E-01    0.37688E-01    0.33284E-01    0.34703E-01    0.41937E-01
    0.13749        0.12189        0.11945        0.13157        0.16406        0.23072        0.36063        0.61118         1.0861         1.9437         3.3497         5.3077         7.3994         8.7416         8.5198         6.7646         4.3920         2.3797         1.1147        0.47311        0.19209        0.78944E-01    0.34672E-01    0.17067E-01    0.97811E-02    0.67001E-02    0.55622E-02    0.56054E-02    0.67932E-02    0.97166E-02    0.15976E-01    0.29219E-01    0.57225E-01    0.11496        0.22605        0.41428        0.67463        0.93608         1.0739         1.0057        0.77577        0.50870        0.29861        0.16751        0.96293E-01    0.60480E-01    0.43597E-01    0.37100E-01    0.37452E-01    0.44122E-01
    0.13525        0.11855        0.11444        0.12371        0.15086        0.20682        0.31432        0.51697        0.89088         1.5472         2.5940         4.0182         5.5168         6.4812         6.3538         5.1357         3.4319         1.9299        0.94213        0.41631        0.17486        0.73531E-01    0.32574E-01    0.15925E-01    0.89324E-02    0.59192E-02    0.47196E-02    0.45591E-02    0.53146E-02    0.73726E-02    0.11899E-01    0.21680E-01    0.42975E-01    0.88788E-01    0.18222        0.35289        0.61262        0.91003         1.1165         1.1108        0.89969        0.60994        0.36377        0.20380        0.11528        0.70488E-01    0.49178E-01    0.40465E-01    0.39623E-01    0.45541E-01
    0.14126        0.12318        0.11758        0.12482        0.14837        0.19684        0.28759        0.45240        0.74330         1.2303         1.9722         2.9412         3.9307         4.5611         4.4932         3.7167         2.5861         1.5359        0.79926        0.37758        0.16888        0.74837E-01    0.34390E-01    0.17109E-01    0.95698E-02    0.62032E-02    0.47604E-02    0.43746E-02    0.48210E-02    0.63190E-02    0.96844E-02    0.16922E-01    0.32628E-01    0.66694E-01    0.13798        0.27441        0.49746        0.78174         1.0223         1.0857        0.93375        0.66493        0.41040        0.23402        0.13261        0.80157E-01    0.54785E-01    0.43964E-01    0.41978E-01    0.47195E-01
    0.15783        0.13819        0.13139        0.13758        0.15957        0.20426        0.28492        0.42411        0.65528         1.0175         1.5331         2.1645         2.7723         3.1357         3.0729         2.5848         1.8687         1.1750        0.65638        0.33534        0.16220        0.77149E-01    0.37520E-01    0.19375E-01    0.10997E-01    0.70644E-02    0.52526E-02    0.45865E-02    0.47321E-02    0.57553E-02    0.81655E-02    0.13269E-01    0.24058E-01    0.47038E-01    0.95091E-01    0.18926        0.35166        0.57861        0.80542        0.91930        0.85163        0.64988        0.42506        0.25299        0.14717        0.89893E-01    0.61287E-01    0.48617E-01    0.45659E-01    0.50423E-01
