obsnme,obsval,weight,obgnme
mw2_175,0.27056,100.0,conc
mw2_176,0.25921,100.0,conc
mw2_177,0.28375,100.0,conc
mw2_178,0.26415,100.0,conc
mw2_179,0.26793,100.0,conc
mw2_180,0.26144,100.0,conc
mw2_181,0.28021,100.0,conc
mw2_182,0.29218,100.0,conc
mw2_183,0.27889,100.0,conc
mw2_184,0.28503,100.0,conc
mw2_185,0.28755,100.0,conc
mw2_186,0.29227,100.0,conc
mw2_187,0.29301,100.0,conc
mw2_188,0.28867,100.0,conc
mw2_189,0.3192,100.0,conc
mw2_190,0.28883,100.0,conc
mw2_191,0.30239,100.0,conc
mw2_192,0.31816,100.0,conc
mw2_193,0.32785,100.0,conc
mw2_194,0.31861,100.0,conc
mw2_195,0.3208,100.0,conc
mw2_196,0.32701,100.0,conc
mw2_197,0.32676,100.0,conc
mw2_198,0.34095,100.0,conc
mw2_199,0.33013,100.0,conc
mw2_200,0.32786,100.0,conc
mw3_201,-0.0047266,100.0,conc
mw3_202,0.0009632,100.0,conc
mw3_203,0.012295,100.0,conc
mw3_204,0.01601,100.0,conc
mw3_205,-0.0039548,100.0,conc
mw3_206,-0.014524,100.0,conc
mw3_207,-0.013528,100.0,conc
mw3_208,0.02199,100.0,conc
mw3_209,-0.0024401,100.0,conc
mw3_210,0.0077248,100.0,conc
mw3_211,0.024952,100.0,conc
mw3_212,0.0031277,100.0,conc
mw3_213,0.014113,100.0,conc
mw3_214,0.018799,100.0,conc
mw3_215,0.024951,100.0,conc
mw3_216,0.058173,100.0,conc
mw3_217,0.078089,100.0,conc
mw3_218,0.068797,100.0,conc
mw3_219,0.12,100.0,conc
mw3_220,0.1326,100.0,conc
mw3_221,0.1632,100.0,conc
mw3_222,0.19085,100.0,conc
mw3_223,0.2039,100.0,conc
mw3_224,0.24206,100.0,conc
mw3_225,0.26315,100.0,conc
mw3_226,0.31944,100.0,conc
mw3_227,0.34845,100.0,conc
mw3_228,0.35259,100.0,conc
mw3_229,0.36385,100.0,conc
mw3_230,0.4097,100.0,conc
mw3_231,0.41727,100.0,conc
mw3_232,0.45621,100.0,conc
mw3_233,0.47661,100.0,conc
mw3_234,0.49034,100.0,conc
mw3_235,0.48481,100.0,conc
mw3_236,0.49332,100.0,conc
mw3_237,0.51057,100.0,conc
mw3_238,0.52941,100.0,conc
mw3_239,0.53351,100.0,conc
mw3_240,0.56628,100.0,conc
mw3_241,0.57177,100.0,conc
mw3_242,0.57501,100.0,conc
mw3_243,0.58084,100.0,conc
mw3_244,0.60024,100.0,conc
mw3_245,0.6159,100.0,conc
mw3_246,0.59072,100.0,conc
mw3_247,0.61984,100.0,conc
mw3_248,0.62161,100.0,conc
mw3_249,0.62393,100.0,conc
mw3_250,0.63442,100.0,conc
mw3_251,0.64536,100.0,conc
mw3_252,0.66864,100.0,conc
mw3_253,0.65621,100.0,conc
mw3_254,0.65682,100.0,conc
mw3_255,0.65415,100.0,conc
mw3_256,0.67927,100.0,conc
mw3_257,0.66896,100.0,conc
mw3_258,0.68014,100.0,conc
mw3_259,0.69306,100.0,conc
mw3_260,0.69098,100.0,conc
mw3_261,0.69101,100.0,conc
mw3_262,0.69742,100.0,conc
mw3_263,0.71225,100.0,conc
mw3_264,0.70706,100.0,conc
mw3_265,0.71358,100.0,conc
mw3_266,0.71918,100.0,conc
mw3_267,0.71532,100.0,conc
mw3_268,0.7256,100.0,conc
mw3_269,0.72313,100.0,conc
mw3_270,0.74076,100.0,conc
mw3_271,0.73789,100.0,conc
mw3_272,0.71896,100.0,conc
mw3_273,0.73752,100.0,conc
mw3_274,0.75395,100.0,conc
mw3_275,0.74394,100.0,conc
mw3_276,0.74499,100.0,conc
mw3_277,0.76225,100.0,conc
mw3_278,0.74451,100.0,conc
mw3_279,0.75896,100.0,conc
mw3_280,0.76713,100.0,conc
mw3_281,0.7726,100.0,conc
mw3_282,0.75655,100.0,conc
mw3_283,0.75716,100.0,conc
mw3_284,0.78725,100.0,conc
mw3_285,0.76715,100.0,conc
mw3_286,0.7766,100.0,conc
mw3_287,0.80432,100.0,conc
mw3_288,0.77783,100.0,conc
mw3_289,0.76287,100.0,conc
mw3_290,0.81512,100.0,conc
mw3_291,0.79969,100.0,conc
mw3_292,0.79541,100.0,conc
mw3_293,0.82181,100.0,conc
mw3_294,0.79545,100.0,conc
mw3_295,0.81279,100.0,conc
mw3_296,0.80053,100.0,conc
mw3_297,0.79968,100.0,conc
